Specimen ID,NCBI Accession Number,WGS ID,AST Approved,WGS Approved,Genus,Species,Serotype,Data Year,Region Name,Resistance Pattern,Resistance Determinants,Predictive Resistance Pattern,AMP Rslt,AMP Concl,AUG Rslt,AUG Concl,AXO Rslt,AXO Concl,CHL Rslt,CHL Concl,FIS Rslt,FIS Concl,FOX Rslt,FOX Concl,TET Rslt,TET Concl
2016AM-1515,SAMN13920365,2016AM-1515,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,2,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-1628,SAMN13920785,2016AM-1628,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,8,S,4,S
2016AM-1727,SAMN13866087,2016AM-1727,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,T,tet(B) ,T,1,S,1,S,0.25,S,8,S,16,S,2,S,32,R
2016AM-1728,SAMN13812519,2016AM-1728,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2016AM-2326,SAMN13916684,2016AM-2326,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,4,S,4,S
2016AM-2327,SAMN13866090,2016AM-2327,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,ACSSuTCxGenCot,aac(6')-Ib-cr aac(6')-Ib3 aac(6')-IIc aadA2 aph(3'')-Ib aph(3')-Ia aph(6)-Id blaSHV-12 blaTEM-1B catA2 dfrA19 ere(A) qnrB2 sul1 sul2 tet(D) ,ACSSuTCxTioCip(I/R)GenKanEry,32,R,8,S,16,R,32,R,256,R,4,S,32,R
2016AM-1583,SAMN13924692,2016AM-1583,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 10,ACSSuT,aadA2 blaCARB-2 floR sul1 tet(G) ,ACSSuT,32,R,8,S,0.25,S,32,R,256,R,2,S,32,R
2016AM-1584,SAMN13869821,2016AM-1584,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 10,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-1629,SAMN13920814,2016AM-1629,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2016AM-1630,SAMN13691126,2016AM-1630,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,2,S,0.25,S,8,S,16,S,4,S,4,S
2016AM-1695,SAMN06640205,PNUSAS010285,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 9,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-1797,SAMN13840639,2016AM-1797,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,AAuCx,blaCMY-2 ,AAuCxTioFox,32,R,32,R,8,R,8,S,32,S,16,I,4,S
2016AM-1846,SAMN13956055,2016AM-1846,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,SuT,sul2 tet(A) ,SuT,4,S,2,S,0.25,S,16,I,256,R,16,I,32,R
2016AM-1847,SAMN13956053,2016AM-1847,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-1848,SAMN13924667,2016AM-1848,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,64,S,2,S,4,S
2016AM-1849,SAMN13956073,2016AM-1849,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-1903,SAMN10037412,2016AM-1903,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-1906,SAMN06481430,PNUSAS009653,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,4,S,4,S
2016AM-1907,SAMN06481431,PNUSAS009654,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-1786,SAMN13831949,2016AM-1786,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-1787,SAMN13956084,2016AM-1787,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-1788,SAMN13812660,PNUSAS122188,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-1789,SAMN13812659,2016AM-1789,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,4,S,4,S
2016AM-1790,SAMN05789733,PNUSAS004130,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-1868,SAMN13840591,2016AM-1868,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-3024,SAMN13956063,2016AM-3024,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2016AM-3023,SAMN13924672,2016AM-3023,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-3022,SAMN13812654,2016AM-3022,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-3025,SAMN13956079,2016AM-3025,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-1975,SAMN13840646,2016AM-1975,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 2,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-1976,SAMN13929978,2016AM-1976,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 2,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-1977,SAMN13929977,2016AM-1977,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 2,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-2059,SAMN13956085,2016AM-2059,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-2060,SAMN05788454,PNUSAS004160,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-2061,SAMN05799456,PNUSAS004192,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-2062,SAMN13869816,2016AM-2062,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,ACSSuTAuCxFox,aadA7 aph(3'')-Ib aph(6)-Id blaCMY-2 floR sul1 sul2 tet(A) ,ACSSuTAuCxTioFox,32,R,32,R,16,R,32,R,256,R,32,R,32,R
2016AM-2063,SAMN13839708,2016AM-2063,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,8,S,4,S
2016AM-2064,SAMN13840822,2016AM-2064,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,2,S,1,S,0.25,S,8,S,16,S,4,S,4,S
2016AM-2065,SAMN13839668,2016AM-2065,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,2,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-2066,SAMN13956076,2016AM-2066,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,S,No determinants detected,No determinants detected,2,S,1,S,0.25,S,4,S,16,S,4,S,4,S
2016AM-2067,SAMN05878953,PNUSAS004547,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-2111,SAMN13920843,2016AM-2111,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-2112,SAMN13924670,2016AM-2112,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-2113,SAMN13920847,2016AM-2113,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-2114,SAMN13840619,2016AM-2114,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-2115,SAMN13920849,2016AM-2115,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-1916,SAMN05713993,PNUSAS003630,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,2,S,2,S,0.25,S,8,S,16,S,4,S,4,S
2016AM-1997,SAMN13930079,2016AM-1997,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-2235,SAMN13924678,2016AM-2235,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-2187,SAMN13956081,2016AM-2187,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2016AM-2188,SAMN13840837,2016AM-2188,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,ACSSuTAuCxFoxGenCot,aac(3)-IId aadA2 aph(3'')-Ib aph(6)-Id blaCMY-2 dfrA12 floR sul2 tet(A) ,ACSSuTAuCxTioFoxGenCotTmp,32,R,32,R,16,R,32,R,256,R,32,R,32,R
2016AM-2343,SAMN13930098,2016AM-2343,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2016AM-2166,SAMN13876608,2016AM-2166,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 10,ACSuTCipCot,aac(3)-IV aac(6')-Ib-cr aadA2 aph(3')-Ia aph(4)-Ia ARR-3 blaOXA-1 catB3 dfrA12 floR qnrS1 sul1 sul2 tet(D) ,ACSSuTCip(I/R)GenKanCotRifTmpToHyg,32,R,16,I,0.25,S,32,R,256,R,2,S,32,R
2016AM-2154,SAMN13876607,2016AM-2154,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 10,ACSSuTCipNalGenCot,aac(3)-IId aadA1 aadA5 aph(3'')-Ib aph(6)-Id blaTEM-1B dfrA17 floR lnu(F) oqxA oqxB qnrB19 sul2 tet(A) ,ACSSuTCip(I/R)GenCotLinTmp,32,R,8,S,0.25,S,32,R,256,R,4,S,32,R
2016AM-2155,SAMN13869638,2016AM-2155,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 10,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2016AM-2415,SAMN05901206,2016K-0663,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,A,blaTEM-1B ,A,32,R,8,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-2416,SAMN13810680,2016AM-2416,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,A,No determinants detected,No determinants detected,32,R,4,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-2417,SAMN13927198,2016AM-2417,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,A,No determinants detected,No determinants detected,32,R,2,S,0.25,S,8,S,16,S,2,S,4,S
2016AM-2418,SAMN13810253,2016AM-2418,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,2,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-2419,SAMN13810250,2016AM-2419,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-2420,SAMN13810678,2016AM-2420,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-2295,SAMN13948580,2016AM-2295,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 2,ASuTAuCx,blaCMY-2 sul2 tet(A) ,ASuTAuCxTioFox,32,R,32,R,8,R,8,S,256,R,16,I,32,R
2016AM-2296,SAMN13867356,2016AM-2296,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 2,ACSSuT,aadA2 blaCARB-2 floR qnrB19 sul1 tet(G) ,ACSSuTCip(I/R),32,R,16,I,0.25,S,32,R,256,R,2,S,32,R
2016AM-2168,SAMN13812518,2016AM-2168,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 9,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-2455,SAMN13916645,2016AM-2455,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-2363,SAMN13924690,2016AM-2363,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-2378,SAMN13810784,2016AM-2378,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 9,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-2492,SAMN13916653,2016AM-2492,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,SSuT,ant(3'')-Ia sul1 tet(A) ,SSuT,1,S,1,S,0.25,S,8,S,256,R,4,S,32,R
2016AM-2494,SAMN06854162,PNUSAS012625,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,ACSSuT,aadA2 blaCARB-2 floR sul1 tet(G) ,ACSSuT,32,R,16,I,0.25,S,32,R,256,R,4,S,32,R
2016AM-2495,SAMN07213168,PNUSAS015789,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,ASSu,aph(3'')-Ib aph(3')-Ia aph(6)-Id blaTEM-1B sul2 ,ASSuKan,32,R,8,S,0.25,S,8,S,256,R,2,S,4,S
2016AM-2496,SAMN07278986,PNUSAS015804,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2016AM-2776,SAMN13871628,2016AM-2776,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 9,ASSuTNal,aph(3'')-Ib aph(6)-Id blaTEM-1B qnrB19 sul2 tet(B) ,ASSuTCip(I/R),32,R,8,S,0.25,S,16,I,256,R,4,S,32,R
2016AM-2670,SAMN13927236,2016AM-2670,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-2682,SAMN13812656,2016AM-2682,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-3081,SAMN13920776,2016AM-3081,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-3082,SAMN13920782,2016AM-3082,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-3080,SAMN13947615,2016AM-3080,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,ATAuCxFox,aph(3')-Ia blaCMY-2 tet(B) ,ATAuCxTioFoxKan,32,R,32,R,16,R,8,S,32,S,32,R,32,R
2016AM-3316,SAMN13975377,2016AM-3316,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-2893,SAMN06049083,PNUSAS005247,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,1,S,4,S
2016AM-2894,SAMN06172380,PNUSAS006442,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-3154,SAMN13916807,2016AM-3154,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,Su,sul2 ,Su,1,S,1,S,0.25,S,4,S,256,R,2,S,4,S
2016AM-3155,SAMN13840496,2016AM-3155,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,ASSuTNal,aph(3'')-Ib aph(6)-Id blaTEM-1B qnrB19 sul2 tet(B) ,ASSuTCip(I/R),32,R,8,S,0.25,S,8,S,256,R,2,S,32,R
2016AM-3099,SAMN13840507,2016AM-3099,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 10,ASSuT,ant(3'')-Ia aph(3')-Ia blaTEM-1B sul1 tet(A) ,ASSuTKan,32,R,8,S,0.25,S,8,S,256,R,2,S,32,R
2016AM-2844,SAMN06891164,PNUSAS011141,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,ASuTAuCxFox,aph(3')-Ia blaCMY-2 sul2 tet(A) ,ASuTAuCxTioFoxKan,32,R,32,R,8,R,4,S,256,R,32,R,32,R
2016AM-2845,SAMN06912774,PNUSAS011154,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2016AM-2847,SAMN06564154,PNUSAS009671,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2016AM-2846,SAMN06062319,PNUSAS005664,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2016AM-2860,SAMN13929964,2016AM-2860,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 1,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-2700,SAMN13916797,2016AM-2700,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-2912,SAMN13947622,2016AM-2912,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 7,ACSSuT,aadA2 blaCARB-2 floR sul1 tet(G) ,ACSSuT,32,R,16,I,0.25,S,32,R,256,R,2,S,32,R
2016AM-2552,SAMN06481439,PNUSAS009662,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-2553,SAMN06481440,PNUSAS009663,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,ASuAu,blaCARB-2 sul1 ,ASu,32,R,32,R,0.25,S,8,S,256,R,2,S,4,S
2016AM-2551,SAMN06564349,PNUSAS009964,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-2922,SAMN13918755,2016AM-2922,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 9,ACSSuT,aadA2 blaCARB-2 floR sul1 tet(G) ,ACSSuT,32,R,16,I,0.25,S,32,R,256,R,2,S,32,R
2016AM-2793,SAMN08053092,PNUSAS028679,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-2944,SAMN06099713,PNUSAS005021,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,1,S,4,S
2016AM-2942,SAMN06135408,PNUSAS006061,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-2587,SAMN13867354,2016AM-2587,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-2586,SAMN13920842,2016AM-2586,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-2765,SAMN13956080,2016AM-2765,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-2527,SAMN13955906,2016AM-2527,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,ASSuTAuCxFoxNal,aph(3'')-Ib aph(6)-Id blaCMY-2 qnrB19 sul2 tet(A) ,ASSuTAuCxTioFoxCip(I/R),32,R,32,R,16,R,8,S,256,R,32,R,32,R
2016AM-2528,SAMN13840590,2016AM-2528,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 4,ASSuT,aph(3'')-Ib aph(6)-Id blaTEM-1B sul2 tet(B) ,ASSuT,32,R,8,S,0.25,S,8,S,256,R,2,S,32,R
2016AM-3208,SAMN13956078,2016AM-3208,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-3212,SAMN13840826,2016AM-3212,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-3206,SAMN13948593,2016AM-3206,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,qnrB19 ,Cip(I/R),1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-3209,SAMN13840831,2016AM-3209,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-3214,SAMN06236526,PNUSAS007348,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,ACSSuT,aadA2 blaCARB-2 floR sul1 tet(G) ,ACSSuT,32,R,16,I,0.25,S,32,R,256,R,4,S,16,R
2016AM-3205,SAMN13930138,2016AM-3205,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-3210,SAMN06236536,PNUSAS007366,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,ACSSuT,aadA2 blaCARB-2 floR sul1 tet(G) ,ACSSuT,32,R,16,I,0.25,S,32,R,256,R,4,S,32,R
2016AM-3213,SAMN06236541,PNUSAS007371,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-3207,SAMN13948591,2016AM-3207,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2016AM-3211,SAMN13930195,2016AM-3211,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2016AM-3244,SAMN13924668,2016AM-3244,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 2,ASuTAuCxFox,blaCMY-2 sul2 tet(A) ,ASuTAuCxTioFox,32,R,32,R,8,R,8,S,256,R,32,R,32,R
2016AM-2972,SAMN13840511,2016AM-2972,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 5,TNal,qnrB19 tet(B) ,TCip(I/R),2,S,1,S,0.25,S,8,S,32,S,2,S,32,R
2016AM-3578,SAMN13693780,2016AM-3578,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,2,S,2,S,0.25,S,16,I,16,S,8,S,4,S
2016AM-3269,SAMN13838187,2016AM-3269,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2016AM-3270,SAMN13927195,2016AM-3270,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2016AM-3271,SAMN13825810,2016AM-3271,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,ASSuT,aph(3'')-Ib aph(6)-Id blaTEM-1B sul2 tet(B) ,ASSuT,32,R,8,S,0.25,S,8,S,256,R,2,S,32,R
2016AM-3272,SAMN13871631,2016AM-3272,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,ASuTAuCxFox,blaCMY-2 sul2 tet(A) ,ASuTAuCxTioFox,32,R,32,R,8,R,8,S,256,R,32,R,32,R
2016AM-3265,SAMN13812514,2016AM-3265,yes,yes,Salmonella,enterica,Typhimurium,2016,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
